,category_code,p_code,p_group,kind_name_new,rank,unit,price
73,AW_A00075,AW_A00075,생강,생강(수입)(10kg),중품,10kg,"45,000"
74,AW_A00051,AW_A00051,미나리,미나리(7.5kg),상품,7.5kg,"40,000"
75,AW_A00052,AW_A00052,미나리,미나리(7.5kg),중품,7.5kg,"30,000"
76,AW_A00020,AW_A00020,깻잎,깻잎(2kg),상품,2kg,"23,500"
77,AW_A00021,AW_A00021,깻잎,깻잎(2kg),중품,2kg,"19,200"
78,AW_A00133,AW_A00133,피망,피망(청)(10kg),상품,10kg,"51,200"
79,AW_A00134,AW_A00134,피망,피망(청)(10kg),중품,10kg,"44,200"
80,AW_A00119,AW_A00119,파프리카,파프리카(5kg),상품,5kg,"13,000"
81,AW_A00120,AW_A00120,파프리카,파프리카(5kg),중품,5kg,"10,000"
82,AW_A00042,AW_A00042,멜론,멜론(8kg),상품,8kg,"29,000"
83,AW_A00043,AW_A00043,멜론,멜론(8kg),중품,8kg,"24,000"
84,AW_A00018,AW_A00018,깐마늘(국산),깐마늘(국산)(대서)(20kg),상품,20kg,"170,000"
85,AW_A00019,AW_A00019,깐마늘(국산),깐마늘(국산)(대서)(20kg),중품,20kg,"160,000"
86,AW_A00016,AW_A00016,깐마늘(국산),깐마늘(국산)(남도)(20kg),상품,20kg,"175,000"
87,AW_A00017,AW_A00017,깐마늘(국산),깐마늘(국산)(남도)(20kg),중품,20kg,"165,000"
88,AW_A00029,AW_A00029,방울토마토,대추방울토마토(1kg),상품,1kg,"4,500"
89,AW_A00030,AW_A00030,방울토마토,대추방울토마토(1kg),중품,1kg,"3,500"
90,AW_A00105,AW_A00105,참깨,참깨(백색)(국산),상품,30kg,"825,000"
91,AW_A00107,AW_A00107,참깨,참깨(중국)(30kg),중품,30kg,"233,000"
92,AW_A00106,AW_A00106,참깨,참깨(인도)(30kg),중품,30kg,"170,000"
93,AW_A00033,AW_A00033,들깨,들깨(국산)(22.5kg),상품,22.5kg,"322,000"
94,AW_A00034,AW_A00034,들깨,들깨(수입)(45kg),중품,45kg,"413,000"
95,AW_A00035,AW_A00035,땅콩,땅콩(국산)(30kg),상품,30kg,"400,000"
96,AW_A00024,AW_A00024,느타리버섯,느타리버섯(2kg),상품,2kg,"14,700"
97,AW_A00025,AW_A00025,느타리버섯,느타리버섯(2kg),중품,2kg,"13,700"
98,AW_A00082,AW_A00082,느타리버섯,애느타리버섯(2kg),상품,2kg,"10,000"
99,AW_A00083,AW_A00083,느타리버섯,애느타리버섯(2kg),중품,2kg,"9,000"
100,AW_A00121,AW_A00121,팽이버섯,팽이버섯(5kg),상품,5kg,"9,500"
101,AW_A00122,AW_A00122,팽이버섯,팽이버섯(5kg),중품,5kg,"8,500"
102,AW_A00070,AW_A00070,새송이버섯,새송이버섯(2kg),상품,2kg,"9,500"
103,AW_A00071,AW_A00071,새송이버섯,새송이버섯(2kg),중품,2kg,"7,500"
104,AW_A00064,AW_A00064,사과,사과(후지)(10kg),상품,10kg,"59,300"
105,AW_A00065,AW_A00065,사과,사과(후지)(10kg),중품,10kg,"49,300"
106,AW_A00055,AW_A00055,배,배(신고)(15kg),상품,15kg,"71,600"
107,AW_A00056,AW_A00056,배,배(신고)(15kg),중품,15kg,"61,600"
108,AW_A00053,AW_A00053,바나나,바나나(수입)(13kg),상품,13kg,"30,600"
109,AW_A00054,AW_A00054,바나나,바나나(수입)(13kg),중품,13kg,"25,600"
110,AW_A00108,AW_A00108,참다래,참다래(그린 뉴질랜드)(10kg),상품,10kg,"44,600"
111,AW_A00109,AW_A00109,참다래,참다래(그린 뉴질랜드)(10kg),중품,10kg,"39,600"
112,AW_A00117,AW_A00117,파인애플,파인애플(수입)(12kg),상품,12kg,"32,000"
113,AW_A00118,AW_A00118,파인애플,파인애플(수입)(12kg),중품,12kg,"27,000"
114,AW_A00094,AW_A00094,오렌지,오렌지(네이블 미국)(18kg),상품,18kg,"75,000"
115,AW_A00095,AW_A00095,오렌지,오렌지(네이블 미국)(18kg),중품,18kg,"70,000"
116,AW_A00096,AW_A00096,오렌지,오렌지(발렌시아 미국)(18kg),상품,18kg,"55,000"
117,AW_A00097,AW_A00097,오렌지,오렌지(발렌시아 미국)(18kg),중품,18kg,"50,000"
118,AW_A00036,AW_A00036,레몬,레몬(수입)(17kg),상품,17kg,"74,000"
119,AW_A00037,AW_A00037,레몬,레몬(수입)(17kg),중품,17kg,"69,000"
120,AW_A00113,AW_A00113,체리,체리(수입)(5kg),상품,5kg,"120,000"
121,AW_A00114,AW_A00114,체리,체리(수입)(5kg),중품,5kg,"110,000"
122,AW_A00039,AW_A00039,망고,망고(수입)(5kg),상품,5kg,"52,600"
123,AW_A00040,AW_A00040,망고,망고(수입)(5kg),중품,5kg,"47,600"
124,SW_A00015,SW_A00015,고등어,고등어(생선)(10kg),중품,10kg,"48,300"
125,SW_A00013,SW_A00013,고등어,고등어(냉동)(10kg),중품,10kg,"70,000"
126,SW_A00014,SW_A00014,고등어,고등어(냉동)(수입),중품,20kg,"80,000"
127,SW_A00001,SW_A00001,갈치,갈치(생선)(1kg),중품,1kg,"17,000"
128,SW_A00000,SW_A00000,갈치,갈치(냉동)(1kg),중품,1kg,"14,300"
129,SW_A00044,SW_A00044,명태,명태(냉동)(20kg),중품,20kg,"55,000"
130,SW_A00050,SW_A00050,물오징어,물오징어(생선)(1kg),중품,1kg,"12,000"
131,SW_A00049,SW_A00049,물오징어,물오징어(냉동)(1kg),중품,1kg,"10,000"
132,SW_A00008,SW_A00008,건멸치,건멸치(1.5kg),중품,1.5kg,"15,000"
133,SW_A00059,SW_A00059,북어,북어(황태)(10마리),중품,10마리,"50,000"
134,SW_A00010,SW_A00010,건오징어,건오징어(20마리),중품,20마리,"81,600"
135,SW_A00038,SW_A00038,김,마른김(1속),중품,1속,"6,500"
136,SW_A00009,SW_A00009,건미역,건미역(1kg),상품,1kg,"13,000"
137,SW_A00102,SW_A00102,전복,전복(1kg),중품,1kg,"33,600"
138,SW_A00072,SW_A00072,새우,새우(흰다리)(수입),중품,2kg,"24,300"
