,category_code,p_code,p_group,kind_name_new,rank,unit,price_1,price_2
30,AW_A00098,AW_A00098,오이,오이(다다기계통)(100개),상품,100개,"67,500","69,500"
31,AW_A00099,AW_A00099,오이,오이(다다기계통)(100개),중품,100개,"62,200","64,200"
32,AW_A00100,AW_A00100,오이,오이(취청)(50개),상품,50개,"32,500","33,700"
33,AW_A00101,AW_A00101,오이,오이(취청)(50개),중품,50개,"28,000","29,200"
34,AW_A00084,AW_A00084,호박,애호박(20개),상품,20개,"32,500","29,000"
35,AW_A00085,AW_A00085,호박,애호박(20개),중품,20개,"30,500","27,000"
36,AW_A00141,AW_A00141,호박,호박(쥬키니)(10kg),상품,10kg,"24,500","25,200"
37,AW_A00142,AW_A00142,호박,호박(쥬키니)(10kg),중품,10kg,"22,500","23,200"
38,AW_A00115,AW_A00115,토마토,토마토(5kg),상품,5kg,"9,830","10,800"
39,AW_A00116,AW_A00116,토마토,토마토(5kg),중품,5kg,"7,830","8,830"
40,AW_A00045,AW_A00045,무,무(봄)(20kg),상품,20kg,"14,000","15,400"
41,AW_A00046,AW_A00046,무,무(봄)(20kg),중품,20kg,"13,000","14,400"
42,AW_A00026,AW_A00026,당근,당근(무세척)(20kg),상품,20kg,"42,300","42,300"
43,AW_A00027,AW_A00027,당근,당근(무세척)(20kg),중품,20kg,"40,300","40,300"
44,AW_A00028,AW_A00028,당근,당근(세척)(수입),중품,10kg,"10,000","10,000"
45,AW_A00092,AW_A00092,열무,열무(4kg),상품,4kg,"12,200","13,500"
46,AW_A00093,AW_A00093,열무,열무(4kg),중품,4kg,"11,200","12,500"
47,AW_A00006,AW_A00006,건고추,건고추(화건)(30kg),상품,30kg,"600,000","600,000"
48,AW_A00007,AW_A00007,건고추,건고추(화건)(30kg),중품,30kg,"550,000","550,000"
49,AW_A00004,AW_A00004,건고추,건고추(양건)(30kg),상품,30kg,"750,000","750,000"
50,AW_A00005,AW_A00005,건고추,건고추(양건)(30kg),중품,30kg,"700,000","700,000"
51,AW_A00125,AW_A00125,풋고추,풋고추(10kg),상품,10kg,"61,000","53,700"
52,AW_A00126,AW_A00126,풋고추,풋고추(10kg),중품,10kg,"53,000","45,700"
53,AW_A00127,AW_A00127,풋고추,풋고추(꽈리고추)(4kg),상품,4kg,"33,000","29,700"
54,AW_A00128,AW_A00128,풋고추,풋고추(꽈리고추)(4kg),중품,4kg,"28,000","24,700"
55,AW_A00131,AW_A00131,풋고추,풋고추(청양고추)(10kg),상품,10kg,"80,000","61,700"
56,AW_A00132,AW_A00132,풋고추,풋고추(청양고추)(10kg),중품,10kg,"73,500","55,200"
57,AW_A00129,AW_A00129,풋고추,풋고추(오이맛고추)(10kg),상품,10kg,"49,500","50,000"
58,AW_A00130,AW_A00130,풋고추,풋고추(오이맛고추)(10kg),중품,10kg,"47,000","47,500"
