,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1
79,피망,255,청(10kg),00,중품,05,10kg,2022-06-23,"44,200"
80,파프리카,256,파프리카(5kg),00,상품,04,5kg,2022-06-23,"13,000"
81,파프리카,256,파프리카(5kg),00,중품,05,5kg,2022-06-23,"10,000"
82,멜론,257,멜론(8kg),00,상품,04,8kg,2022-06-23,"29,000"
83,멜론,257,멜론(8kg),00,중품,05,8kg,2022-06-23,"24,000"
84,깐마늘(국산),258,깐마늘(대서)(20kg),03,상품,04,20kg,2022-06-23,"170,000"
85,깐마늘(국산),258,깐마늘(대서)(20kg),03,중품,05,20kg,2022-06-23,"160,000"
86,깐마늘(국산),258,깐마늘(남도)(20kg),05,상품,04,20kg,2022-06-23,"175,000"
87,깐마늘(국산),258,깐마늘(남도)(20kg),05,중품,05,20kg,2022-06-23,"165,000"
88,방울토마토,422,대추방울토마토(1kg),02,상품,04,1kg,2022-06-23,"4,500"
89,방울토마토,422,대추방울토마토(1kg),02,중품,05,1kg,2022-06-23,"3,500"
90,참깨,312,백색(국산)(30kg),01,상품,04,30kg,2022-06-23,"825,000"
91,참깨,312,중국(30kg),02,중품,05,30kg,2022-06-23,"233,000"
92,참깨,312,인도(30kg),03,중품,05,30kg,2022-06-23,"170,000"
93,들깨,313,국산(22.5kg),01,상품,04,22.5kg,2022-06-23,"322,000"
94,들깨,313,수입(45kg),02,중품,05,45kg,2022-06-23,"413,000"
95,땅콩,314,국산(30kg),01,상품,04,30kg,2022-06-23,"400,000"
96,느타리버섯,315,느타리버섯(2kg),00,상품,04,2kg,2022-06-23,"14,700"
97,느타리버섯,315,느타리버섯(2kg),00,중품,05,2kg,2022-06-23,"13,700"
98,느타리버섯,315,애느타리버섯(2kg),01,상품,04,2kg,2022-06-23,"10,000"
99,느타리버섯,315,애느타리버섯(2kg),01,중품,05,2kg,2022-06-23,"9,000"
100,팽이버섯,316,팽이버섯(5kg),00,상품,04,5kg,2022-06-23,"9,500"
101,팽이버섯,316,팽이버섯(5kg),00,중품,05,5kg,2022-06-23,"8,500"
102,새송이버섯,317,새송이버섯(2kg),00,상품,04,2kg,2022-06-23,"9,500"
103,새송이버섯,317,새송이버섯(2kg),00,중품,05,2kg,2022-06-23,"7,500"
104,사과,411,후지(10kg),05,상품,04,10kg,2022-06-23,"59,300"
105,사과,411,후지(10kg),05,중품,05,10kg,2022-06-23,"49,300"
106,배,412,신고(15kg),01,상품,04,15kg,2022-06-23,"71,600"
107,배,412,신고(15kg),01,중품,05,15kg,2022-06-23,"61,600"
108,바나나,418,수입(13kg),02,상품,04,13kg,2022-06-23,"30,600"
109,바나나,418,수입(13kg),02,중품,05,13kg,2022-06-23,"25,600"
110,참다래,419,그린 뉴질랜드(10kg),02,상품,04,10kg,2022-06-23,"44,600"
